epoch,train_loss,valid_loss,valid_accuracy,valid_auc
1.0,0.6802723473972745,0.7088554501533508,0.5217391304347826,0.43181818181818177
2.0,0.6722096933258904,0.7194326221942902,0.5217391304347826,0.4348484848484848
3.0,0.6640616456667582,0.7142764627933502,0.5217391304347826,0.42757575757575766
4.0,0.6528570983144972,0.7309136688709259,0.5217391304347826,0.4412121212121212
5.0,0.6281558010313246,0.7504753768444061,0.5217391304347826,0.4539393939393939
6.0,0.5953919490178426,0.7204678356647491,0.5217391304347826,0.5109090909090909
7.0,0.5677494936519198,0.6989504098892212,0.5478260869565217,0.562121212121212
8.0,0.529705309205585,0.7057111263275146,0.5739130434782609,0.5872727272727273
9.0,0.5065908067756228,0.8393503129482269,0.5565217391304348,0.5869696969696969
10.0,0.4373415857553482,0.9669391810894012,0.5391304347826087,0.6057575757575757
11.0,0.40868469410472447,1.0826824605464935,0.5391304347826087,0.6266666666666667
12.0,0.37061452203326756,0.9155117869377136,0.6608695652173913,0.6281818181818182
13.0,0.34127869705359143,0.8354158699512482,0.6260869565217392,0.6087878787878788
14.0,0.3634152048163944,0.964882105588913,0.5565217391304348,0.6457575757575758
15.0,0.3258653481801351,1.1867072582244873,0.5217391304347826,0.6478787878787878
16.0,0.2914931575457255,0.9374420940876007,0.6434782608695652,0.6363636363636364
17.0,0.3281599266661538,1.207293689250946,0.5304347826086957,0.6527272727272727
18.0,0.2850559155146281,1.0379510521888733,0.5391304347826087,0.6745454545454546
19.0,0.27268248465326095,1.1395002603530884,0.5304347826086957,0.6548484848484848
20.0,0.21386000348461998,1.230470895767212,0.6,0.6530303030303031
