signal_date,ticker,action,price,trade_value,trade_units,realized_pnl,post_trade_units,post_trade_cash
2026-05-05,TSLA,HOLD,389.3699951171875,0.0,0.0,0.0,0.0,0.0
2026-05-05,AMD,HOLD,355.260009765625,0.0,0.0,0.0,0.0,0.0
2026-05-05,GOOGL,HOLD,388.42999267578125,0.0,0.0,0.0,0.0,0.0
2026-05-05,META,HOLD,604.9600219726562,0.0,0.0,0.0,0.0,0.0
2026-05-05,NVDA,HOLD,196.5,0.0,0.0,0.0,0.0,0.0
2026-05-05,ASML,SELL,1442.9200439453125,-9.575217411621095,-0.006636,0.5752174116210936,0.0,9.575217411621095
2026-05-05,AAPL,HOLD,283.9184265136719,0.0,0.0,0.0,0.0,9.575217411621095
2026-05-05,AVGO,HOLD,427.3599853515625,0.0,0.0,0.0,0.0,9.575217411621095
2026-05-05,LLY,HOLD,988.8699951171875,0.0,0.0,0.0,0.0,9.575217411621095
2026-05-05,XOM,HOLD,154.8800048828125,0.0,0.0,0.0,0.0,9.575217411621095
2026-05-05,SHEL,HOLD,89.70999908447266,0.0,0.0,0.0,0.0,9.575217411621095
2026-05-05,TSM,HOLD,394.4100036621094,0.0,0.0,0.0,0.0,9.575217411621095
2026-05-05,ETH-USD,SELL,2361.1826171875,-11.515487624023438,-0.004877,0.5154876240234391,0.0,21.090705035644532
2026-05-05,SOL-USD,HOLD,86.3191909790039,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-05,VWCE.DE,HOLD,155.97999572753906,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-05,EUNL.DE,HOLD,118.23999786376953,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-05,2B76.DE,HOLD,16.648000717163086,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-05,IQQH.DE,HOLD,10.442000389099121,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-05,500.PA,HOLD,123.42790222167969,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,TSLA,HOLD,398.7300109863281,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,AMD,HOLD,421.3900146484375,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,GOOGL,HOLD,398.0400085449219,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,META,HOLD,612.8800048828125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,NVDA,HOLD,207.8300018310547,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,ASML,HOLD,1544.739990234375,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,AAPL,HOLD,287.245361328125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,AVGO,HOLD,425.44000244140625,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,LLY,HOLD,987.0499877929688,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,XOM,HOLD,148.69000244140625,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,SHEL,HOLD,87.19999694824219,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,TSM,HOLD,419.5,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,ETH-USD,HOLD,2350.802001953125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,SOL-USD,HOLD,89.14501953125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,VWCE.DE,HOLD,158.05999755859375,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,EUNL.DE,HOLD,119.56999969482422,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,2B76.DE,HOLD,17.030000686645508,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,IQQH.DE,HOLD,10.42199993133545,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-06,500.PA,HOLD,124.50270080566406,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,TSLA,HOLD,411.7900085449219,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,AMD,HOLD,408.4599914550781,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,GOOGL,HOLD,397.989990234375,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,META,HOLD,616.8099975585938,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,NVDA,HOLD,211.5,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,ASML,HOLD,1516.5999755859375,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,AAPL,HOLD,287.1754150390625,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,AVGO,HOLD,412.55999755859375,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,LLY,HOLD,974.9600219726562,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,XOM,HOLD,146.5800018310547,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,SHEL,HOLD,84.23999786376953,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,TSM,HOLD,414.1499938964844,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,ETH-USD,HOLD,2291.107666015625,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,SOL-USD,HOLD,88.40478515625,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,VWCE.DE,HOLD,157.97999572753906,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,EUNL.DE,HOLD,119.59500122070312,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,2B76.DE,HOLD,17.16200065612793,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,IQQH.DE,HOLD,10.289999961853027,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-07,500.PA,HOLD,124.9093017578125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,TSLA,HOLD,428.3500061035156,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,AMD,HOLD,455.19000244140625,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,GOOGL,HOLD,400.79998779296875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,META,HOLD,609.6300048828125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,NVDA,HOLD,215.1999969482422,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,ASML,HOLD,1592.02001953125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,AAPL,HOLD,293.0500183105469,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,AVGO,HOLD,430.0,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,LLY,HOLD,948.4500122070312,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,XOM,HOLD,144.57000732421875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,SHEL,HOLD,83.97000122070312,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,TSM,HOLD,411.67999267578125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,ETH-USD,HOLD,2306.97216796875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,SOL-USD,HOLD,91.94982147216797,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,VWCE.DE,HOLD,158.13999938964844,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,EUNL.DE,HOLD,119.54499816894531,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,2B76.DE,HOLD,17.31999969482422,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,IQQH.DE,HOLD,10.241999626159668,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-08,500.PA,HOLD,125.0958023071289,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,TSLA,HOLD,428.3500061035156,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,AMD,HOLD,455.19000244140625,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,GOOGL,HOLD,400.79998779296875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,META,HOLD,609.6300048828125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,NVDA,HOLD,215.1999969482422,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,ASML,HOLD,1592.02001953125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,AAPL,HOLD,293.0500183105469,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,AVGO,HOLD,430.0,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,LLY,HOLD,948.4500122070312,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,XOM,HOLD,144.57000732421875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,SHEL,HOLD,83.97000122070312,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,TSM,HOLD,411.67999267578125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,ETH-USD,HOLD,2326.727294921875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,SOL-USD,HOLD,93.14551544189453,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,VWCE.DE,HOLD,158.13999938964844,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,EUNL.DE,HOLD,119.54499816894531,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,2B76.DE,HOLD,17.31999969482422,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,IQQH.DE,HOLD,10.241999626159668,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-09,500.PA,HOLD,125.0958023071289,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,TSLA,HOLD,428.3500061035156,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,AMD,HOLD,455.19000244140625,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,GOOGL,HOLD,400.79998779296875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,META,HOLD,609.6300048828125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,NVDA,HOLD,215.1999969482422,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,ASML,HOLD,1592.02001953125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,AAPL,HOLD,293.0500183105469,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,AVGO,HOLD,430.0,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,LLY,HOLD,948.4500122070312,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,XOM,HOLD,144.57000732421875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,SHEL,HOLD,83.97000122070312,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,TSM,HOLD,411.67999267578125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,ETH-USD,HOLD,2369.0439453125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,SOL-USD,HOLD,96.42698669433594,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,VWCE.DE,HOLD,158.13999938964844,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,EUNL.DE,HOLD,119.54499816894531,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,2B76.DE,HOLD,17.31999969482422,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,IQQH.DE,HOLD,10.241999626159668,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-10,500.PA,HOLD,125.0958023071289,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,TSLA,HOLD,445.0,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,AMD,HOLD,458.7900085449219,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,GOOGL,HOLD,388.6400146484375,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,META,HOLD,598.8599853515625,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,NVDA,HOLD,219.44000244140625,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,ASML,HOLD,1565.81005859375,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,AAPL,HOLD,292.67999267578125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,AVGO,HOLD,428.42999267578125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,LLY,HOLD,966.989990234375,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,XOM,HOLD,149.67999267578125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,SHEL,HOLD,85.36000061035156,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,TSM,HOLD,404.5400085449219,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,ETH-USD,HOLD,2339.36083984375,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,SOL-USD,HOLD,97.35015106201172,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,VWCE.DE,HOLD,158.6199951171875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,EUNL.DE,HOLD,119.93000030517578,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,2B76.DE,HOLD,17.535999298095703,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,IQQH.DE,HOLD,10.711999893188477,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-11,500.PA,HOLD,125.5177993774414,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,TSLA,HOLD,433.45001220703125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,AMD,HOLD,448.2900085449219,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,GOOGL,HOLD,387.3500061035156,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,META,HOLD,603.0,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,NVDA,HOLD,220.77999877929688,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,ASML,HOLD,1520.93994140625,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,AAPL,HOLD,294.79998779296875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,AVGO,HOLD,419.29998779296875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,LLY,HOLD,989.8699951171875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,XOM,HOLD,150.6300048828125,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,SHEL,HOLD,85.3499984741211,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,TSM,HOLD,397.2799987792969,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,ETH-USD,HOLD,2274.6435546875,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,SOL-USD,HOLD,94.28429412841797,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,VWCE.DE,HOLD,156.9600067138672,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,EUNL.DE,HOLD,119.15499877929688,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,2B76.DE,HOLD,17.016000747680664,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,IQQH.DE,HOLD,10.37600040435791,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-12,500.PA,HOLD,124.85299682617188,0.0,0.0,0.0,0.0,21.090705035644532
2026-05-13,TSLA,HOLD,445.2699890136719,0.0,0.0,0.0,0.0,21.090705035644532
