signal_date,ticker,action,price,trade_value,trade_units,realized_pnl,post_trade_units,post_trade_cash
2026-05-12,TSLA,HOLD,433.45001220703125,0.0,0.0,0.0,0.0,0.0
2026-05-12,AMD,HOLD,448.2900085449219,0.0,0.0,0.0,0.0,0.0
2026-05-12,GOOGL,HOLD,387.3500061035156,0.0,0.0,0.0,0.0,0.0
2026-05-12,META,HOLD,603.0,0.0,0.0,0.0,0.0,0.0
2026-05-12,NVDA,SELL,220.77999877929688,-13.201760807006837,-0.059796,1.4917608070068347,0.0,13.201760807006837
2026-05-12,ASML,SELL,1520.93994140625,-10.092957451171875,-0.006636,1.092957451171875,0.0,23.294718258178712
2026-05-12,AAPL,SELL,294.79998779296875,-11.91109870678711,-0.040404,0.9110987067871096,0.0,35.20581696496582
2026-05-12,AVGO,SELL,419.29998779296875,-10.604515991271972,-0.025290999999999998,0.6045159912719724,0.0,45.810332956237794
2026-05-12,LLY,SELL,989.8699951171875,-6.140163579711914,-0.006203,0.14016357971191426,0.0,51.95049653594971
2026-05-12,XOM,SELL,150.6300048828125,-6.0512591861572265,-0.040173,0.051259186157227,0.0,58.001755722106935
2026-05-12,SHEL,SELL,85.3499984741211,-11.800064039039611,-0.138255,5.8000640390396105,0.0,69.80181976114655
2026-05-12,TSM,SELL,397.2799987792969,-7.768015816131592,-0.019553,-0.23198418386840788,0.0,77.56983557727814
2026-05-12,ETH-USD,SELL,2274.6435546875,-11.093436616210939,-0.004877,0.09343661621093907,0.0,88.66327219348908
2026-05-12,SOL-USD,SELL,94.28429412841797,-12.332102819114684,-0.130797,1.332102819114684,0.0,100.99537501260376
