signal_date,next_date,regime,portfolio_value_start,portfolio_value_end,daily_pnl,daily_return,benchmark_value_start,benchmark_value_end,benchmark_return,cash,cash_weight,gross_exposure,buy_count,hold_count,sell_count,realized_pnl_cumulative
2026-05-12,2026-05-13,risk_on_growth,23.294718258178712,23.294718258178712,0.0,0.0,23.294718258178712,23.42504866689283,0.005594848036780231,23.294718258178712,1.0,0.0,0,6,0,2.5847182581787096
2026-05-13,2026-05-14,risk_on_growth,23.294718258178712,23.294718258178712,0.0,0.0,23.42504866689283,23.555537014505575,0.005570462177829638,23.294718258178712,1.0,0.0,0,5,1,2.5847182581787096
