epoch,train_loss,valid_loss,valid_accuracy,valid_auc,is_best_epoch,best_valid_auc_so_far
1,0.6556567209107536,0.6183180312315623,0.7021276595744681,0.47811823593073594,True,0.47811823593073594
2,0.6380751707724163,0.6376137733459473,0.6675531914893617,0.49005681818181823,True,0.49005681818181823
3,0.6204629561730793,0.6672853877147039,0.625,0.496482683982684,True,0.496482683982684
4,0.5721112872873034,0.7434681554635366,0.6648936170212766,0.4890760281385282,False,0.496482683982684
5,0.5304833639945302,0.7605747977892557,0.6196808510638298,0.5071360930735931,True,0.5071360930735931
6,0.4537655860185623,0.764879917105039,0.5851063829787234,0.5549580627705627,True,0.5549580627705627
7,0.41880819307906286,0.8821311841408411,0.648936170212766,0.49201839826839827,False,0.5549580627705627
8,0.3942921129720552,0.9282828370730082,0.5611702127659575,0.5112959956709957,False,0.5549580627705627
9,0.3434390446969441,0.8965662469466528,0.6542553191489362,0.5655945616883117,True,0.5655945616883117
10,0.3633145248251302,0.8670088003079096,0.6622340425531915,0.5433915043290043,False,0.5655945616883117
11,0.3118260417665754,1.0314446290334065,0.648936170212766,0.5126826298701299,False,0.5655945616883117
12,0.2734499584351267,1.0201310912768047,0.6223404255319149,0.5299986471861472,False,0.5655945616883117
13,0.24455920872943743,1.126360426346461,0.6143617021276596,0.5403138528138529,False,0.5655945616883117
14,0.2500560549753053,1.1274811923503876,0.6117021276595744,0.5242153679653679,False,0.5655945616883117
