model,split,train_outperform_rate,accuracy,auc,brier
simple_train_base_rate,valid,0.6442417331812998,0.7021276595744681,0.5,0.21249518970934325
simple_always_outperform,valid,0.6442417331812998,0.7021276595744681,0.5,0.2978723404255319
simple_always_underperform,valid,0.6442417331812998,0.2978723404255319,0.5,0.7021276595744681
simple_train_base_rate,test,0.6442417331812998,0.5957446808510638,0.5,0.24318492017344961
simple_always_outperform,test,0.6442417331812998,0.5957446808510638,0.5,0.40425531914893614
simple_always_underperform,test,0.6442417331812998,0.40425531914893614,0.5,0.5957446808510638
