model,split,loss,accuracy,auc,brier
transformer_raw,validation,0.8965662469466528,0.6542553191489362,0.5655945616883117,0.27400094270706177
transformer_raw,test,1.0688824951648712,0.5585106382978723,0.4752995770676692,0.3453771770000458
transformer_calibrated,validation,0.8965662469466528,0.7021276595744681,0.5656114718614719,0.20517934614325647
transformer_calibrated,test,1.0688824951648712,0.5957446808510638,0.4752995770676692,0.25589865587422234
